CODMUN,Ano,IDEB,AlunosAI,TotalEscolas,Aluno/Escola,TemAgua,TemEnergia,TemEsgoto,Alimentacao,Internet,Biblioteca,Aluno/Docente,TotalDocentes,Escolaridade,ComPos,Concursado,Temporario,Terceirizado,CLT,CO_REGIAO,CO_UF,TotalAlunos,SexoMasc,SexoFem,Branco,Preto,Pardo,Amarelo,Indigena,Urbano,Deficiencia,PIBpcapita,Caracterização do órgão gestor ,Sexo,EscolaridadeGestor,PosGestor,capac.gestao,PME,Pcarr,ConsEd,ConsFundeb,ConsAlim,ConsTransp,SelecDir,OrdDesp,pibmun,IDHM ,gini,poppobre,popextpobre,partido,rend,saeb,invest,investAluno,tpcons
2915700,2014,2.895238095,0.476190476,16,114.1875,1,1,1,1,0.375,0.00390625,17.07476636,107,0.468847352,0.308411215,0.953271028,0.046728972,0,0,2,29,1827,0.538040504,0.461959496,0.013136289,0.018609743,0.222222222,0.001094691,0.000547345,0.927750411,0.015873016,7049.382822,0,0,3,1,0,0,1,1,1,1,0,1,0,60159,0.536,0.425,15.418,3.671,3,0.654534333,51375739.3,25687869.65,14060.13664,1
2703700,2014,3.489651639,0.632172131,5,205.2,1,1,1,1,0.6,0,24.42857143,42,0.424603175,0.214285714,0.880952381,0.119047619,0,0,2,27,1026,0.486354776,0.513645224,0.057504873,0.012670565,0.268031189,0.003898635,0,0.696881092,0.105263158,6321.328777,0,0,2,0,0,0,1,1,1,1,0,1,1,36070,0.569,0.36,22.578,5.762,3,0.739337511,0,0,0,0
2705903,2014,2.941004184,0.560669456,17,71.94117647,1,1,1,1,0.058823529,0.003460208,24.46,50,0.57,0.58,0.84,0.16,0,0,2,27,1223,0.536385936,0.463614064,0.061324612,0.011447261,0.244480785,0.001635323,0,0.646770237,0.057236304,5307.457148,1,1,2,0,0,0,1,0,1,1,1,1,0,27434,0.519,0.443,30.17,15.467,1,0.69868018,33399375.45,15944844.81,13037.48554,0
2406809,2014,3.324489796,0.524489796,10,51.7,0.9,1,1,1,0.2,0,14.36111111,36,0.541666667,0.472222222,0.888888889,0.111111111,0,0,2,24,517,0.551257253,0.448742747,0.147001934,0.011605416,0.669245648,0.003868472,0,0.508704062,0.046421663,7211.372549,0,0,2,0,1,0,1,1,1,1,0,1,1,34571,0.617,0.365,17.344,4.283,1,0.817192251,24208362.31,12084929.06,23375.10456,0
2414704,2014,3.490220049,0.650366748,3,133.3333333,1,1,1,1,0.666666667,0.111111111,12.90322581,31,0.52688172,0.419354839,1,0,0,0,2,24,400,0.545,0.455,0.145,0.005,0.345,0,0,0.97,0.145,6345.511658,0,0,3,1,1,0,1,1,1,1,0,1,0,34837,0.618,0.389,15.641,3.188,2,0.860241364,19518012.85,9463891.33,23659.72833,1
3126208,2014,3.869578783,0.744149766,5,128.6,1,1,1,1,0.4,0.16,13.39583333,48,0.447916667,0.291666667,0.5,0.5,0,0,3,31,643,0.508553655,0.491446345,0.139968896,0.024883359,0.710730949,0.00155521,0.00155521,0.424572317,0.037325039,18365.86283,0,0,3,1,1,1,1,1,1,1,0,1,0,164283,0.724,0.457,13.292,7.31,2,0.73234383,29676130.29,14741709.77,22926.45376,0
3145000,2014,7.191993088,0.639976959,6,240.6666667,1,1,1,1,1,1,17.19047619,84,0.503968254,0.44047619,0.630952381,0.369047619,0,0,3,31,1444,0.541551247,0.458448754,0.398891967,0.022853186,0.238919668,0.004155125,0.001385042,0.890581718,0.284626039,47661.89046,1,0,3,1,0,0,1,1,1,1,1,1,1,678753,0.793,0.44,2.494,0.816,1,1,68391718.95,31057979.68,21508.29618,0
2204600,2014,4.628685259,0.657370518,4,126.25,1,1,1,1,0.5,0.0625,18.7037037,27,0.679012346,0.703703704,1,0,0,0,2,22,505,0.504950495,0.495049505,0.091089109,0.01980198,0.554455446,0.035643564,0,0.986138614,0.031683168,6090.920493,1,0,3,1,1,0,1,1,1,1,0,1,0,23212,0.541,0.405,17.819,-2.015,2,0.98280794,15091773.66,7492678.77,14836.98766,0
3143104,2014,6.005190058,0.641081871,6,235.6666667,1,1,1,1,0.833333333,0.694444444,18.85333333,75,0.537777778,0.426666667,0.773333333,0.24,0,0,3,31,1414,0.501414427,0.498585573,0.396039604,0.033946252,0.297029703,0.006364922,0.003536068,0.639321075,0.055162659,26614.43822,0,1,3,1,1,1,1,1,1,1,0,1,1,1271372,0.824,0.415,2.977,0.4,3,0.968078433,101848907.8,45998992.9,32531.11238,1
5221304,2014,6.4,1,1,222,1,1,1,1,1,0,17.07692308,13,0.551282051,0.461538462,0.692307692,0.307692308,0,0,5,52,222,0.5,0.5,0.324324324,0.027027027,0.238738739,0,0,1,0.076576577,15039.9741,1,0,3,1,1,0,0,1,1,1,0,1,1,43556,0.832,0.368,1.563,-0.047,2,0.990664,12161086.56,5729811.78,25809.96297,0
4306734,2014,3.596753247,0.62012987,1,326,1,1,1,1,1,0,12.53846154,26,0.679487179,0.692307692,1,0,0,0,4,43,326,0.524539877,0.475460123,0.779141104,0.027607362,0.159509203,0.003067485,0,1,0.036809816,34980.32692,1,0,3,1,1,1,1,1,1,1,0,1,1,183612,0.775,0.408,5.173,1.777,1,0.983175948,18734755.1,8006396.56,24559.49865,0
5219704,2014,5.537045455,0.629545455,7,132,1,1,1,1,0.571428571,0.183673469,15.66101695,59,0.63559322,0.627118644,0.915254237,0.084745763,0,0,5,52,924,0.510822511,0.489177489,0.153679654,0.036796537,0.284632035,0.002164502,0.001082251,0.884199134,0.04978355,11663.41077,0,0,3,1,1,0,1,1,1,1,0,1,0,116727,0.782,0.392,5.687,-0.51,2,0.971201189,35831100.72,17915550.36,19389.12377,0
3515905,2014,6.6,1,1,132,1,1,1,1,1,0,12,11,0.515151515,0.363636364,1,0,0,0,3,35,132,0.522727273,0.477272727,0.742424242,0.015151515,0.189393939,0.007575758,0,1,0.090909091,21100.76842,1,0,2,0,1,0,1,1,1,1,0,0,0,63872,0.875,0.314,1.08,0.311,2,0.932741,11543692.18,5462214.35,41380.41174,1
5215306,2014,5.721957237,0.602796053,11,113,0.818181818,1,1,1,1,0.297520661,16.57333333,75,0.453333333,0.266666667,0.986666667,0.013333333,0,0,5,52,1243,0.523732904,0.476267096,0.245374095,0.008849558,0.135156879,0.010458568,0.00160901,0.511665326,0.020112631,24751.10614,1,1,1,0,0,1,1,1,1,1,0,1,1,374732,0.798,0.4,2.004,-0.121,2,0.964553666,64095668.83,31662384.82,25472.55416,1
3545209,2014,6.570046995,0.957209993,10,397.1,1,1,1,1,1,0.01,16.34156379,243,0.551440329,0.46090535,1,0,0,0,3,35,3971,0.509695291,0.490304709,0.648954923,0.020901536,0.156131957,0.003021909,0,1,0.041803072,48934.25453,1,0,3,1,1,1,1,1,1,1,0,0,1,5535785,0.914,0.382,1.479,0.362,3,0.984231613,405682533.1,188892274,47567.93604,0
4314423,2014,5.057568238,0.640198511,2,209,1,1,1,1,1,1,14.92857143,28,0.630952381,0.642857143,1,0,0,0,4,43,418,0.504784689,0.495215311,0.535885168,0.009569378,0.028708134,0,0,0.540669857,0.055023923,63493.18552,0,1,3,1,0,1,1,1,1,1,0,1,0,349086,0.832,0.278,0.804,0.028,2,0.978510275,33407888.4,14114494.02,33766.73211,1
3165602,2014,5.189020772,0.554896142,2,176,1,1,1,1,1,1,14.66666667,24,0.576388889,0.5,0.666666667,0.333333333,0,0,3,31,352,0.519886364,0.480113636,0.210227273,0.150568182,0.122159091,0.005681818,0,0.886363636,0.045454545,9132.158847,1,0,3,1,0,0,1,1,1,1,0,1,0,18684,0.763,0.491,5.736,1.84,1,0.911560531,0,0,0,0
3501608,2014,6.440903015,0.673548196,10,693.6,1,1,1,1,1,1,17.83033419,389,0.672664953,0.688946015,0.892030848,0.107969152,0,0,3,35,6936,0.495098039,0.504901961,0.665369089,0.017445213,0.147923875,0.00216263,0.000720877,1,0.060265283,45403.51066,1,0,2,0,1,0,1,1,1,1,0,0,0,10305235,0.95,0.399,0.623,0.269,2,0.973021073,504554512.2,158949185.4,22916.54922,0
4323309,2014,5.324734982,0.480565371,1,289,1,1,1,1,1,1,11.56,25,0.713333333,0.76,0.68,0.32,0,0,4,43,289,0.484429066,0.515570934,0.166089965,0.003460208,0.031141869,0,0,1,0.044982699,48866.88011,0,0,3,1,0,1,1,1,1,1,0,1,1,163851,0.814,0.278,0.838,0.238,1,0.877476689,16723988.19,7332211.89,25370.9754,0
4207601,2014,6.730075188,0.537593985,2,248.5,1,1,1,1,1,1,11.55813953,43,0.775193798,0.88372093,0.627906977,0.348837209,0,0.023255814,4,42,497,0.482897384,0.517102616,0.561368209,0.004024145,0.002012072,0,0,0.853118712,0.028169014,16092.97048,0,1,3,1,0,1,1,1,1,1,0,1,0,75235,0.853,0.377,1.363,1.293,3,0.966042485,22462199.28,9923358.2,19966.51549,0
3114501,2014,6.268208092,0.76300578,5,268.8,1,1,1,1,1,0.64,20.05970149,67,0.475124378,0.28358209,0.537313433,0.47761194,0,0,3,31,1344,0.514136905,0.485863095,0.494047619,0.009672619,0.149553571,0,0,0.824404762,0.029761905,18741.19407,0,0,3,1,0,1,0,1,1,1,0,1,1,345138,0.792,0.389,3.333,0.427,2,0.987071399,55882931.07,26311321.82,19576.87635,0
4215406,2014,6.455932203,0.569915254,1,438,1,1,1,1,1,1,20.85714286,21,0.563492063,0.476190476,0.952380952,0.047619048,0,0,4,42,438,0.53652968,0.46347032,0.479452055,0.020547945,0.098173516,0,0,1,0.04109589,36058.21825,0,0,3,1,1,1,1,1,1,1,1,1,1,163560,0.908,0.46,1.234,0.377,1,0.954087017,20132805.24,8350999.8,19066.20959,1
1400100,2014,5.5,1,74,308.6081081,0.986486486,1,1,1,0.608108108,0.073046019,19.35338983,1180,0.546468927,0.456779661,0.789830508,0.220338983,0,0,1,14,22837,0.522835749,0.477164251,0.088540526,0.009239392,0.474536936,0.001094715,0.021062311,0.970355126,0.042431142,23351.04679,1,0,2,0,1,0,0,1,1,1,0,1,1,7353245,0.813,0.441,0.514,-5.093,2,0.954739,1065177985,452223850.3,19802.24418,1
4323770,2014,4.093150685,0.568493151,4,70.25,1,1,1,1,1,0.5625,8.515151515,33,0.626262626,0.636363636,0.909090909,0.090909091,0,0,4,43,281,0.46975089,0.53024911,0.661921708,0,0.017793594,0,0,0.62633452,0.131672598,38201.34762,0,1,3,1,1,0,1,1,1,1,0,1,1,112312,0.825,0.286,0.16,0,3,0.985021945,23251540.18,10744144.25,38235.38879,1
3514106,2014,6.422380107,0.777975133,5,439.4,1,1,1,1,0.8,0.04,21.125,104,0.536858974,0.413461538,1,0,0,0,3,35,2197,0.51706873,0.48293127,0.716431498,0.02002731,0.227127902,0.000455166,0,1,0.021847975,21911.55797,1,0,3,1,1,1,1,1,1,1,0,0,0,576800,0.849,0.39,2.407,0.53,2,0.997721845,104680207.1,43989791.07,20022.66321,1
3304557,2014,4.99015082,0.53085776,985,506.6852792,1,1,1,1,0.993908629,0.502155686,24.04997109,20752,0.513500707,0.38810717,0.999421742,0.001108327,0,0,3,33,499085,0.515613573,0.484386427,0.356468337,0.103585562,0.491140788,0.001546831,0.001001833,1,0.047875612,46526.95184,1,0,3,1,0,1,1,1,1,1,0,0,1,300270152,0.816,0.543,1.568,-0.308,2,0.881624013,19997451987,9272236109,18578.47082,1
4314902,2014,4.262128253,0.577660316,48,744.9375,1,1,1,1,1,1,18.22477064,1962,0.719673802,0.775229358,1,0,0,0,4,43,35757,0.519254971,0.480745029,0.675839696,0.167799312,0.127135945,0.002461057,0.004446682,1,0.12694018,43456.9497,1,0,3,1,0,0,1,1,1,1,0,0,1,63989576,0.883,0.521,1.85,0.43,3,0.84223447,4258429662,1882466977,52646.11062,1
4106902,2014,6.226287315,0.926287315,181,524.8121547,1,1,1,1,1,0.967125546,16.33551161,5815,0.546947549,0.430266552,0.995872743,0.004643164,0,0,4,41,94991,0.515269868,0.484730132,0.729290143,0.014875093,0.146161215,0.004031961,0.001884389,1,0.051331179,43551.65294,1,0,3,1,0,0,1,1,1,1,0,0,1,81198399,0.871,0.456,0.65,0.092,3,0.972846686,6080847032,2513104397,26456.23688,1
2927408,2014,4.470021437,0.823093413,358,279.5083799,1,1,1,1,0.952513967,0.068942917,27.76470588,3604,0.61963559,0.584073252,0.922031077,0.071032186,0.006936737,0.002197199,2,29,100064,0.527772226,0.472227774,0.056184042,0.194825312,0.562719859,0.007605133,0.002728254,0.993913895,0.03801567,19480.79618,1,1,3,1,1,1,1,1,1,1,0,0,1,56551329,0.703,0.525,5.327,0.95,1,0.832784835,5979150099,2960785551,29588.9186,1
2611606,2014,4.379932944,0.79993904,221,287.8371041,1,1,0.990950226,1,0.968325792,0.289940828,23.64758364,2690,0.742998761,0.823420074,0.967286245,0.030483271,0,0.003345725,2,26,63612,0.524602276,0.475397724,0.165141797,0.049204553,0.469203924,0.003049739,0.001760674,1,0.076825127,31405.82174,1,1,3,1,0,0,1,1,1,1,0,0,1,50515887,0.744,0.535,6.099,1.488,3,0.850513043,4246286463,1973911524,31030.4899,1
2508604,2014,3.72591029,0.608443272,11,159.5454545,1,1,1,1,0.727272727,0.20661157,18.47368421,95,0.552631579,0.473684211,0.852631579,0.147368421,0,0,2,25,1755,0.537321937,0.462678063,0.091168091,0.034757835,0.62962963,0.001709402,0.000569801,0.831339031,0.080911681,15127.79478,0,0,3,1,0,0,1,1,1,1,0,1,0,191140,0.558,0.451,13.45,-1.413,3,0.808802565,57173832.06,28586916.03,16288.84104,1
2505204,2014,3.944067797,0.688135593,13,68.15384615,0.769230769,1,0.923076923,1,0.076923077,0,15.01694915,59,0.629943503,0.694915254,0.644067797,0.355932203,0,0,2,25,886,0.533860045,0.466139955,0.12979684,0.018058691,0.551918736,0.003386005,0,0.889390519,0.039503386,6394.388962,0,0,3,1,1,1,1,1,1,1,0,1,0,43910,0.545,0.402,12.312,-1.447,3,0.907279054,26308379.4,13022800.92,14698.4209,1
2511202,2014,4.201170569,0.601170569,28,137.75,0.964285714,1,1,1,0.214285714,0.011479592,22.29479769,173,0.625240848,0.583815029,0.497109827,0.502890173,0,0,2,25,3857,0.537723619,0.462276381,0.184858699,0.028001037,0.486388385,0.00233342,0.000518538,0.592429349,0.038112523,15766.35529,0,1,2,0,1,0,1,1,1,1,0,1,0,444201,0.564,0.435,12.936,-1.979,3,0.806061434,144059519,69533945.97,18027.98703,1
2705804,2014,3.461933535,0.574622357,8,225,1,1,1,1,0.375,0.015625,22.22222222,81,0.633744856,0.654320988,0.62962963,0.37037037,0,0,2,27,1800,0.551111111,0.448888889,0.075,0.020555556,0.534444444,0.002777778,0.003888889,0.747777778,0.05,5667.204474,1,0,2,0,1,0,1,1,1,1,0,1,0,52189,0.541,0.405,23.791,10.066,0,0.747980604,49208761.56,24604380.78,13669.10043,0
2405504,2014,1.937254902,0.538126362,2,234,1,1,1,1,0.5,0,19.5,24,0.479166667,0.375,0.916666667,0.083333333,0,0,2,24,468,0.551282051,0.448717949,0.181623932,0.012820513,0.384615385,0,0,0.745726496,0.02991453,7466.498691,0,1,3,1,1,0,1,1,1,0,0,1,0,19958,0.558,0.43,20.519,6.256,2,0.659331268,17011632.73,8035659.86,17170.21338,0
2204550,2014,3.33067186,0.521908471,15,70.66666667,0.533333333,1,1,1,0.4,0.004444444,19.62962963,54,0.533950617,0.537037037,0.944444444,0.055555556,0,0,2,22,1060,0.53490566,0.46509434,0.160377359,0.012264151,0.668867925,0.019811321,0,0.289622642,0.018867925,5786.38551,1,1,2,0,0,0,1,1,1,1,0,1,1,25877,0.459,0.444,22.906,-2.905,1,0.819934844,33520666.05,16640266.47,15698.36459,1
2706505,2014,3.317497457,0.617497457,18,160.6111111,1,1,1,1,0.222222222,0.012345679,19.93793103,145,0.512643678,0.406896552,0.779310345,0.220689655,0,0,2,27,2891,0.533033552,0.466966448,0.02905569,0.021099965,0.775510204,0.003804912,0,0.563472847,0.056035974,10290.57268,1,1,2,0,0,0,1,1,1,1,0,1,1,158434,0.55,0.36,23.232,7.943,2,0.821574344,70057508.63,32170549.42,11127.82754,1
2807204,2014,3.32985782,0.663507109,9,111.1111111,1,1,1,1,0.111111111,0,22.72727273,44,0.496212121,0.386363636,1,0,0,0,2,28,1000,0.52,0.48,0.138,0.041,0.615,0.029,0.001,0.625,0.038,27503.66791,0,0,3,1,1,0,1,0,1,1,0,1,0,236202,0.629,0.352,11.307,-0.689,1,0.780059872,48214259.3,22750967.05,22750.96705,0
2404853,2014,3.995430393,0.707757705,5,187,0.8,1,1,1,1,0.16,22.26190476,42,0.492063492,0.357142857,0.785714286,0.214285714,0,0,2,24,935,0.526203209,0.473796791,0.248128342,0.028877005,0.494117647,0,0.001069519,0.896256685,0.052406417,8654.208193,1,0,3,1,1,1,1,1,1,0,0,1,1,64015,0.616,0.341,11.694,2.173,3,0.866217497,26184039.06,12817975.77,13709.06499,0
2701308,2014,3.791384538,0.559120768,13,307.6923077,1,1,1,1,0.846153846,0.023668639,33.89830508,118,0.574858757,0.601694915,0.957627119,0.042372881,0,0,2,27,4000,0.5185,0.4815,0.07125,0.00625,0.23,0.001,0.00025,0.899,0.0285,6380.619397,0,0,3,1,0,0,1,1,1,1,0,1,0,135658,0.58,0.368,18.432,5.702,2,0.84820638,113203410.9,56601705.47,14150.42637,0
2705705,2014,3.529194837,0.529194837,7,485,1,1,1,1,0.571428571,0.020408163,31.72897196,107,0.473520249,0.327102804,0.934579439,0.065420561,0,0,2,27,3395,0.517820324,0.482179676,0.098674521,0.019734904,0.564359352,0.000589102,0.001178203,0.82533137,0.041237113,7463.436306,0,1,3,1,1,0,1,0,1,1,0,1,1,161001,0.583,0.413,19.077,6.404,2,0.757406325,85662744.68,41630049.48,12262.1648,0
2800605,2014,3.697882231,0.659607438,7,277.4285714,1,1,1,1,0.428571429,0.020408163,24.275,80,0.55,0.4625,0.6375,0.3625,0,0,2,28,1942,0.52523172,0.47476828,0.064881565,0.040164779,0.440267765,0.006179197,0.002574665,0.894438723,0.023686921,15652.26633,1,1,2,0,0,0,1,1,1,1,0,0,0,439719,0.67,0.405,7.609,-0.501,2,0.77073023,110672018.6,53400992.3,27497.9363,0
2404705,2014,3.882462892,0.587685542,10,179,0.9,1,0.9,1,0.6,0.01,18.45360825,97,0.558419244,0.556701031,0.75257732,0.24742268,0,0,2,24,1790,0.518994413,0.481005587,0.172625698,0.023463687,0.397765363,0.001117318,0,0.263128492,0.069832402,8043.242809,1,0,2,0,1,1,1,1,1,1,0,1,0,120512,0.596,0.389,16.46,3.881,3,0.821795441,60424322.52,28514154.33,15929.69516,1
2803302,2014,3.86391097,0.553259142,19,138.2105263,1,1,1,1,0.210526316,0.011080332,19.45185185,135,0.538271605,0.437037037,0.977777778,0.022222222,0,0,2,28,2626,0.519421173,0.480578827,0.058644326,0.024371668,0.395658797,0.004569688,0.000761615,0.572734197,0.011805027,43529.50729,1,1,3,1,0,0,1,1,1,1,0,1,0,787797,0.641,0.375,10.297,-0.837,2,0.76003827,148815507.6,73546332.85,28006.98128,1
2402808,2014,3.714482759,0.643103448,7,87.71428571,1,1,1,1,0.142857143,0.326530612,17.54285714,35,0.533333333,0.4,0.828571429,0.171428571,0,0,2,24,614,0.517915309,0.482084691,0.180781759,0.006514658,0.252442997,0.004885993,0,0.701954397,0.039087948,6282.36038,0,1,2,0,0,1,1,1,1,1,0,1,0,35074,0.58,0.446,21.865,8.261,3,0.777776234,22879937.54,11439968.77,18631.87096,0
2909208,2014,3.692541708,0.525024534,60,52.96666667,1,0.916666667,1,1,0.133333333,0.001111111,15.13333333,210,0.651587302,0.714285714,0.914285714,0.09047619,0,0,2,29,3178,0.516047829,0.483952171,0.098804279,0.017306482,0.67684078,0,0,0.651982379,0.046255507,6657.036683,0,1,3,1,1,0,1,1,1,1,0,1,0,114874,0.496,0.4,19.859,4.623,2,0.755203115,97727187.3,43842237.63,13795.54362,1
2700805,2014,3.549834254,0.57679558,13,59.61538462,1,1,1,1,0.076923077,0.00591716,15.19607843,51,0.444444444,0.274509804,0.941176471,0.058823529,0,0,2,27,775,0.513548387,0.486451613,0.126451613,0.030967742,0.521290323,0.001290323,0,0.576774194,0.12,6826.877012,1,0,3,1,1,0,0,0,1,1,0,1,1,31806,0.612,0.42,16.713,6.598,3,0.778414179,0,0,0,0
2702355,2014,3.351730911,0.536950651,28,144.8214286,1,1,1,1,0.178571429,0.020408163,25.66455696,158,0.541139241,0.550632911,0.487341772,0.512658228,0,0,2,27,4055,0.517632552,0.482367448,0.102096178,0.011837238,0.772379778,0.000986436,0.000493218,0.549938348,0.040690506,5380.96553,1,0,3,1,0,0,1,0,1,1,0,1,1,130036,0.541,0.398,23.079,10.331,1,0.752490371,111769368.3,54187381.66,13363.10275,0
2704609,2014,3.223529412,0.529411765,8,239.625,0.875,1,1,1,0.375,0.015625,21.3,90,0.616666667,0.8,0.411111111,0.588888889,0,0,2,27,1917,0.550339072,0.449660929,0.1637976,0.013562859,0.447574335,0.000521648,0.000521648,0.720396453,0.04277517,5871.706284,0,1,3,1,0,0,1,0,1,1,0,1,1,58494,0.587,0.435,22.912,10.351,1,0.734281471,58723310.62,29355316.55,15313.15417,0
2913903,2014,4.460090703,0.600151172,25,226.92,0.72,1,1,1,0.6,0.0144,31.34254144,181,0.600368324,0.552486188,0.552486188,0.447513812,0,0,2,29,5673,0.525295258,0.474704742,0.112109995,0.113872731,0.64463247,0.00246783,0.001410189,0.919619249,0.081438392,8766.048725,0,0,3,1,1,0,1,1,1,1,0,1,0,415406,0.621,0.575,13.931,2.996,2,0.861573798,173298769,84912190.75,14967.77556,1
2804607,2014,3.348616852,0.623847377,22,140.5,1,1,1,1,0.090909091,0.051652893,19.08024691,162,0.602880658,0.561728395,0.851851852,0.148148148,0,0,2,28,3091,0.518278874,0.481721126,0.055968942,0.009382077,0.592041411,0.003882239,0.001617599,0.494985442,0.013587836,11000.33807,1,0,2,0,1,0,1,0,1,1,0,1,1,286471,0.62,0.382,11.23,-0.938,3,0.759191762,106774467.3,52059140.68,16842.1678,0
2700607,2014,3.335461957,0.519701087,5,300.6,1,1,1,1,0.8,0.16,22.43283582,67,0.60199005,0.611940299,0.537313433,0.447761194,0.014925373,0,2,27,1503,0.517631404,0.482368596,0.134397871,0.011310712,0.701929474,0.00332668,0.002661344,0.902195609,0.067864271,15322.14479,0,0,2,0,0,0,1,0,1,1,0,1,1,125504,0.634,0.413,10.777,3.08,1,0.69053519,49695175.56,24269929.52,16147.6577,0
2802304,2014,4.12812716,0.572909468,12,126,1,1,1,1,0.166666667,0.006944444,18.66666667,81,0.559670782,0.592592593,1,0,0,0,2,28,1512,0.527116402,0.472883598,0.091931217,0.009920635,0.46031746,0.000661376,0.001322751,0.615079365,0.029100529,13503.7229,1,1,2,0,1,0,1,1,1,1,0,1,0,201070,0.608,0.36,6.548,-0.374,1,0.869894531,59910534.32,29955267.16,19811.68463,1
